Mode,NumFiles,FileArgument,Sec,NSec
SYNC,1,./bin/input/Medium.pdf,0,1750630
ASYNC,1,./bin/input/Medium.pdf,0,1687322
SYNC,80,./bin/input/filelist.txt,0,44120271
ASYNC,80,./bin/input/filelist.txt,0,53853240
SYNC,1,./bin/input/Medium.pdf,0,1396455
ASYNC,1,./bin/input/Medium.pdf,0,2294319
SYNC,80,./bin/input/filelist.txt,0,45467800
ASYNC,80,./bin/input/filelist.txt,0,30072203
SYNC,1,./bin/input/Medium.pdf,0,1405011
ASYNC,1,./bin/input/Medium.pdf,0,2126998
SYNC,80,./bin/input/filelist.txt,0,48516663
ASYNC,80,./bin/input/filelist.txt,0,20711798
SYNC,1,./bin/input/Medium.pdf,0,1864370
ASYNC,1,./bin/input/Medium.pdf,0,3047461
SYNC,80,./bin/input/filelist.txt,0,44228016
ASYNC,80,./bin/input/filelist.txt,0,19526940
SYNC,1,./bin/input/Medium.pdf,0,1503260
ASYNC,1,./bin/input/Medium.pdf,0,2326786
SYNC,80,./bin/input/filelist.txt,0,46869939
ASYNC,80,./bin/input/filelist.txt,0,18170473
SYNC,1,./bin/input/Medium.pdf,0,1923459
ASYNC,1,./bin/input/Medium.pdf,0,1926151
SYNC,80,./bin/input/filelist.txt,0,45588315
ASYNC,80,./bin/input/filelist.txt,0,18917703
